TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-10-15,2024-10-15,CM,BSE,STK,540738,INE402Y01028,STL,B,,,,,Shreeji Translogistics Limited,22.87,22.87,22.00,22.29,22.35,22.51,,22.29,,,74413,1668922.00,472,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540743,INE850D01014,GODREJAGRO,A,,,,,Godrej Agrovet Limited,788.95,800.00,770.00,777.50,777.15,773.95,,777.25,,,21136,16552815.00,1422,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540749,INE348L01012,MASFIN,A,,,,,MAS Financial Services Limited,294.45,296.90,294.25,295.50,295.60,294.45,,295.80,,,3631,1073204.00,324,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540750,INE022Q01020,IEX,A,,,,,Indian Energy Exchange Limited,196.00,196.15,189.40,191.55,191.55,195.85,,191.60,,,1352379,257981954.00,7484,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540755,INE481Y01014,GICRE,A,,,,,General Insurance Corporation,404.90,404.90,394.85,396.20,396.20,399.50,,395.80,,,19664,7820960.00,796,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540757,INE501Y01019,SCPL,T,,,,,SHEETAL COOL PRODUCTS LIMITED,371.80,371.80,353.00,357.05,357.35,358.90,,352.85,,,331,118570.00,20,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540762,INE974X01010,TIINDIA,A,,,,,Tube Investments of India Ltd,4224.95,4335.00,4164.30,4326.65,4324.95,4236.20,,4326.95,,,6650,28463293.00,1795,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540767,INE298J01013,NAM-INDIA,A,,,,,NIPPON LIFE INDIA ASSET MANAGE,707.95,715.00,698.00,707.35,705.15,696.70,,707.05,,,32606,23060567.00,1817,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540768,INE766P01016,MAHLOG,A,,,,,Mahindra Logistics Limited,493.00,502.95,491.60,495.20,491.60,499.15,,494.95,,,8600,4260499.00,499,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540769,INE470Y01017,NIACL,A,,,,,The New India Assurance Compan,216.20,219.40,212.10,213.20,213.20,216.15,,213.30,,,56865,12173082.00,1385,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540774,INE133Y01011,IFGLEXPOR,B,,,,,IFGL Refractories Limited,612.60,620.00,598.25,609.20,609.15,592.55,,608.60,,,1266,766436.00,189,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540775,INE834I01025,KHADIM,B,,,,,Khadim India Limited,410.95,410.95,382.85,384.65,384.65,390.65,,386.10,,,813,323310.00,54,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540776,INE618L01018,5PAISA,B,,,,,5paisa Capital Limited,549.95,594.95,539.50,587.60,587.60,538.00,,588.05,,,154347,88171392.00,8399,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540777,INE795G01014,HDFCLIFE,A,,,,,HDFC LIFE INSURANCE COMPANY LI,744.95,746.10,711.00,714.40,714.40,740.65,,714.25,,,207048,150953074.00,7668,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540786,INE669Y01022,SHARIKA,T,,,,,SHARIKA ENTERPRISES LIMITED,20.55,20.55,19.57,19.85,20.35,20.15,,19.85,,,21447,426840.00,149,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540787,INF109KB15Y7,ICICIB22,A,,,,,ICICI Prudential Mutual Fund,116.57,117.29,116.04,116.52,116.43,116.58,,116.45,,,18203,2120105.00,224,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540788,INE500C01017,ASPIRA,XT,,,,,Aspira Pathlab & Diagnostics L,47.70,47.90,46.50,47.00,47.00,45.62,,47.00,,,9183,433896.00,28,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540789,INE016M01021,DNAMEDIA,T,,,,,Diligent Media Corporation Lim,4.98,5.20,4.81,4.88,4.87,5.04,,4.89,,,34161,166408.00,78,F1,1,,,,,
